mq5,mq9,mq135,humidity,temp,pressure,dust
128.01,99.42,75.14,72,27,986,2.74
127.93,98.79,74.53,71,28,986,3.06
127.84,98.9,73.72,72,27,986,2.64
127.93,99.03,73.78,73,27,986,2.6
126.91,95.92,71.73,72,27,986,2.79
127.35,96.66,74.19,73,27,986,2.71
127.29,96.95,73.61,73,27,986,2.58
126.91,95.46,75.17,73,27,986,2.68
127.52,97.42,73.06,73,27,986,2.57
127.93,99.08,71.28,71,28,986,2.7
128.01,99.39,70.58,72,27,986,2.73
127.93,99.28,70.88,72,27,986,2.65
127.69,98.45,71.14,72,27,986,2.65
127.35,97.12,71.44,72,27,986,2.58
126.27,93.87,69.59,72,27,986,2.7
125.66,91.37,72.11,73,28,986,2.49
123.9,86,73.3,72,28,986,2.35
127.35,96.01,78.95,72,28,986,2.48
127.49,97.48,73.92,72,28,986,2.52
127.87,98.76,72.77,72,28,986,2.64
127.87,98.93,71.75,73,28,986,2.69
127.93,99.13,71.93,72,28,986,2.66
127.2,96.69,72.92,72,28,986,2.56
125.98,92.81,72.78,73,28,986,2.52
128.01,99.08,74.48,73,28,986,2.68
128.1,99.67,71.86,73,28,986,2.7
127.75,98.14,72.52,72,27,986,2.57
127.78,98.34,71.75,72,28,985,2.75
127.09,96.2,70.64,72,28,985,2.61
127.2,96.57,72.06,72,28,986,2.57
126.16,92.87,73.5,72,28,986,2.47
123.23,83.52,71.81,71,28,986,2.48
125.06,88.39,79.15,69,28,986,2.47
127.93,98.51,75.86,72,28,986,2.6
127.87,98.48,72.34,72,28,986,2.64
127.35,96.98,72.31,72,28,985,2.69
126.77,95.04,72.15,72,28,985,2.53
127.11,95.71,74.45,72,28,986,2.62
126.42,93.62,72.69,70,28,985,2.6
123.64,84.54,73.77,73,28,986,2.35
126.59,93.92,75.14,73,28,986,2.53
127.78,98.42,73.81,72,28,986,2.66
127.41,96.91,72.02,72,28,985,2.66
127.87,98.76,71.78,73,28,985,2.64
127.69,97.48,71.98,71,28,985,2.68
127.61,97.45,71.94,73,28,985,2.65
125.98,91.8,72.14,73,28,985,2.55
125.81,90.7,76.24,73,28,985,2.53
127,94.59,77.39,71,28,985,2.58
124.07,86.5,70.64,73,28,985,2.44
128.88,104.02,81.53,80,28,984,2.46
128.13,101.17,80.21,80,28,984,2.33
124.16,88.31,82.67,80,28,984,2.09
121.05,81.52,90.59,80,28,984,1.86
121.31,93.51,106.72,77,28,984,1.83
125.58,105.18,117.45,77,28,984,1.81
129.03,110.96,122.28,76,28,984,1.73
131.15,114.67,126,76,28,984,1.74
132.25,117.58,127.89,77,28,984,1.75
